municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 08:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 09:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 10:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 11:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 12:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 13:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 14:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 15:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 16:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 17:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 18:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 19:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 20:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 21:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 22:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-05 23:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 00:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 01:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 02:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 03:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 04:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 05:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 06:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 07:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 08:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 09:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 10:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 11:10:00.0;0,00;
BELÉM;150140201H;PA;Canal da Quintino Bocaiuva;-48,483548;-1,467778;2020-08-06 12:10:00.0;0,00;
